Month,State,Average_order_Value_by_State_n_Month
2018-03-01 00:00:00 UTC,DF,135
2017-09-01 00:00:00 UTC,PR,134.9
2017-06-01 00:00:00 UTC,MS,134.8
2017-04-01 00:00:00 UTC,MT,134
2017-12-01 00:00:00 UTC,RR,133.1
2018-03-01 00:00:00 UTC,ES,132.9
2018-01-01 00:00:00 UTC,RO,132.6
2017-05-01 00:00:00 UTC,SP,132.5
2016-10-01 00:00:00 UTC,SP,132.5
2017-12-01 00:00:00 UTC,PR,132.4
2017-04-01 00:00:00 UTC,PR,132.3
2017-12-01 00:00:00 UTC,SP,132.3
2017-05-01 00:00:00 UTC,MG,132.2
2018-07-01 00:00:00 UTC,SP,131.1
2018-01-01 00:00:00 UTC,SP,130.8
2017-03-01 00:00:00 UTC,ES,130.2
2018-01-01 00:00:00 UTC,ES,130
2017-03-01 00:00:00 UTC,MG,130
2018-02-01 00:00:00 UTC,SP,129.8
2018-02-01 00:00:00 UTC,PR,129.8
2016-11-01 00:00:00 UTC,MG,129.6
2018-07-01 00:00:00 UTC,TO,129.4
2017-07-01 00:00:00 UTC,SP,129.4
2017-06-01 00:00:00 UTC,RR,129.4
2017-11-01 00:00:00 UTC,SP,128.7
2017-12-01 00:00:00 UTC,PI,128.7
2017-08-01 00:00:00 UTC,AC,128.2
2017-04-01 00:00:00 UTC,ES,126.7
2018-07-01 00:00:00 UTC,AM,126.7
2017-01-01 00:00:00 UTC,SP,126.3
2017-05-01 00:00:00 UTC,MS,125.5
2017-06-01 00:00:00 UTC,MA,125.5
2017-07-01 00:00:00 UTC,RS,124.9
2017-06-01 00:00:00 UTC,SC,123.7
2017-07-01 00:00:00 UTC,GO,123.7
2017-04-01 00:00:00 UTC,AM,123.5
2017-06-01 00:00:00 UTC,RS,123.4
2018-10-01 00:00:00 UTC,ES,123.3
2017-02-01 00:00:00 UTC,ES,123.1
2018-01-01 00:00:00 UTC,SC,123
2016-10-01 00:00:00 UTC,BA,122.6
2017-08-01 00:00:00 UTC,SP,121.7
2017-01-01 00:00:00 UTC,MT,121.6
2017-01-01 00:00:00 UTC,ES,121.5
2017-08-01 00:00:00 UTC,ES,119.3
2018-09-01 00:00:00 UTC,PE,118
2017-03-01 00:00:00 UTC,MA,115.7
2017-10-01 00:00:00 UTC,ES,115.1
2017-08-01 00:00:00 UTC,DF,114.6
2016-10-01 00:00:00 UTC,RS,114
2017-06-01 00:00:00 UTC,AC,113.8
2017-01-01 00:00:00 UTC,RJ,113.8
2018-01-01 00:00:00 UTC,RR,112.4
2018-05-01 00:00:00 UTC,PB,112
2017-02-01 00:00:00 UTC,MS,111.1
